sku,concepto,unidad,precio,coef,Hmax
GYPSOTECH-STD-15,Placa STD BA 15,m2,7.96,1.025,3.8
MONTANTE-90-40-Z1,Montante 90/40 Z1,ml,0.743,2.8,3.8
RAIL-90-30-Z1,Rail 90 Z1,ml,0.583,0.7,3.8
TORN-PM-25,Tornillo PM 3.5x25,ud,0.014,10,3.8
TORN-PM-35,Tornillo PM 3.5x35,ud,0.017,15,3.8
TORN-MM-95,Tornillo MM 3.5x9.5,ud,0.014,3,3.8
CINTA-J-150,Cinta juntas papel,ml,0.056,1.0,3.8
CINTA-GV-30,Cinta guardavivos,ml,0.579,0.3,3.8
BANDA-E-90,Banda estanca 90 mm,ml,0.753,0.6,3.8
MAS-JN,Pasta JN Secado Normal,kg,1.33,0.20,3.8

